using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB1
connecting to /dev/ttyUSB1 (115200) [OK]
 P 760731 23440 349273 57641162
 P 761863 23512 349289 57761238
 P 764212 23585 349303 57881699
 P 765953 23658 349318 58003055
 P 768321 23846 349328 58121689
 P 770255 23919 349342 58242758
 P 772375 23919 351917 58365023
 P 774309 23992 351932 58483359
 P 776691 24065 351947 58603563
 P 777826 24138 351961 58723639
 P 780177 24210 351977 58844099
 P 781920 24283 351992 58965455
 P 784293 24283 354572 59086919
 P 785912 24283 354578 59204592
 P 787849 24356 354593 59325459
 P 789307 24429 354607 59445663
 P 791692 24502 354623 59565740
 P 792829 24575 354639 59686200
 P 795150 24648 354654 59807554
 P 797186 24648 354659 59927704
 P 798670 24648 357235 60049319
 P 800128 24721 357250 60167559
 P 802143 24721 359831 60289599
 P 803439 24794 359846 60408159
 P 805454 24794 362427 60530199
 P 806751 24867 362441 60648759
 P 809033 24940 362461 60769059
 P 810331 25013 362476 60889264
 P 812346 25013 365057 61011559
 P 813644 25086 365071 61129958
 P 815659 25086 367652 61251999
 P 816957 25159 367667 61370559
 P 818972 25159 370248 61492599
 P 820271 25231 370265 61611159
 P 822286 25231 372846 61733199
 P 823586 25304 372860 61851759
 P 825601 25304 375441 61973799
 P 826901 25377 375456 62092360
 P 828921 25377 378037 62214719
 P 830223 25450 378051 62332960
 P 832240 25450 380631 62454999
 P 834021 25523 380646 62573559
 P 835323 25596 380660 62693763
 P 836305 25669 380675 62813839
 P 838209 25669 383251 62936359
 P 839992 25741 383267 63054760
 P 841295 25814 383283 63174962
 P 843526 25887 383298 63295039
 P 844510 25960 383312 63415499
 P 846416 25960 385888 63538915
 P 848200 26033 385904 63656260
 P 849504 26106 385919 63776464
 P 851737 26179 385933 63896539
 P 852722 26251 385949 64016999
 P 854661 26251 388525 64140415
 P 856447 26324 388539 64257759
 P 858681 26395 388554 64377961
 P 859667 26467 388571 64498040
 P 861454 26540 388585 64618498
 P 862762 26613 388601 64739855
 P 863431 26613 388607 64860004
 P 865709 26686 388627 64979464
 P 867018 26759 388641 65099540
 P 869033 26759 391222 65223115
 P 870341 26832 391237 65340460
 P 872356 26832 393818 65462499
 P 874145 26905 393833 65581059
 P 874212 26905 399795 65703323
 P 876002 26978 399809 65821659
 P 878240 27051 399824 65941863
 P 879230 27124 399840 66061940
 P 881404 27197 399855 66182400
 P 883612 27270 399870 66303756
 P 885984 27270 402451 66425219
 P 887775 27343 402466 66543458
 P 890015 27416 402480 66663663
 P 891007 27489 402495 66783739
 P 892953 27489 405071 66906259
 P 894747 27562 405085 67024660
 P 896988 27635 405100 67144863
 P 897981 27708 405116 67264940
 P 900697 27708 406507 67387459
 P 902011 27781 406521 67505859
 P 903005 27854 406536 67626063
 P 905183 27927 406551 67746139
 P 906786 28000 406565 67866599
 P 909701 28072 406581 67987954
 P 910442 28072 406587 68108104
 P 911406 28144 406602 68227658
 P 913718 28144 409183 68350019
 P 915515 28217 409198 68468260
 P 917761 28290 409212 68588465
 P 918758 28363 409227 68708538
 P 920555 28436 409242 68828999
 P 921872 28509 409257 68950355
 P 922870 28582 409271 69071071
 P 925052 28655 409286 69189611
 P 927266 28728 409301 69310584
 P 929633 28728 411882 69433391
 P 931432 28801 411897 69550958
 P 933679 28874 411912 69671163
 P 934680 28947 411926 69791240
 P 936896 29020 411941 69911699
 P 938504 29093 411956 70033054
 P 938571 29093 417918 70155831
 P 940372 29166 417932 70272759
 P 942622 29239 417947 70392963
 P 943624 29312 417962 70513039
 P 945426 29385 417976 70633499
 P 946748 29458 417991 70754854
 P 947488 29670 417997 70875273
 P 949675 29743 418011 70994558
 P 951288 29816 418026 71114764
 P 953655 29816 420607 71237059
 P 955459 29889 420621 71355459
 P 957711 29962 420635 71475663
 P 958715 30035 420650 71595739
 P 960903 30108 420666 71716200
 P 962516 30181 420680 71837555
 P 964476 30181 423261 71959019
 P 965801 30254 423276 72077259
 P 967821 30254 425857 72199619
 P 969147 30327 425872 72317860
 P 971162 30327 428453 72439899
 P 972489 30400 428468 72558460
 P 974504 30400 431049 72680499
 P 975831 30473 431064 72799058
 P 978109 30546 431084 72919040
 P 979437 30619 431098 73039499
 P 981457 30619 433679 73162019
 P 982787 30692 433694 73280261
 P 984802 30692 436275 73402299
 P 986131 30765 436290 73520859
 P 988146 30765 438871 73642899
 P 989477 30838 438885 73761460
 P 991453 30838 438895 73880889
 P 992783 30911 438910 74002059
 P 994759 30911 438921 74121489
 P 996090 30984 438935 74242659
 P 998349 31057 438950 74362863
 P 1000241 31057 438956 74482387
 P 1002518 31130 438976 74603463
 P 1003850 31203 438991 74723538
 P 1005865 31203 441572 74847115
 P 1007198 31276 441586 74964460
 P 1009170 31276 441597 75083885
 P 1010503 31349 441612 75205059
 P 1012475 31349 441623 75324486
 P 1013809 31422 441638 75445659
 P 1015780 31422 441649 75565085
 P 1017114 31495 441666 75686260
 P 1019085 31495 441677 75805685
 P 1020420 31568 441692 75926859
 P 1022414 31568 441703 76046307
 P 1023492 31568 441708 76166952
