using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
OçâûOÿMy address is 1.0.
nullmac PRIMAC, channel check rate 8 Hz, radio channel 26
Starting
Hello, world
230103 R 2.0 87 1 9129 244
 P 503225 62167 41248 58881534
 P 504281 62167 42222 59003799
231043 R 2.0 88 1 9173 245
 P 505830 62439 42231 59122134
 P 506820 62439 43201 59242434
231982 R 2.0 89 1 9217 246
 P 508274 62710 43210 59362734
232449 R 3.0 150 1 16761 247
 P 509023 62981 43219 59483034
 P 511422 62981 43552 59604435
233389 R 3.0 151 1 16805 248
 P 512171 63253 43560 59723634
233862 R 2.0 90 1 19460 249
 P 513625 63525 43569 59843934
234329 R 3.0 152 1 16849 250
 P 514373 63797 43578 59964234
234802 R 2.0 91 1 10244 251
 P 515828 64068 43587 60084534
235269 R 3.0 153 1 16893 252
 P 516643 64340 43597 60205967
235742 R 2.0 92 1 10288 253
 P 518099 64613 43605 60325134
236209 R 3.0 154 1 15145 254
 P 518846 64884 43615 60445434
236681 R 2.0 93 1 10332 255
 P 520301 65156 43624 60565734
237149 R 3.0 155 1 13397 256
 P 521049 65429 43632 60686034
237621 R 2.0 94 1 9480 257
 P 522572 65701 43642 60806859
238088 R 3.0 156 1 11649 258
 P 523319 65972 43651 60926634
238561 R 4.0 92 2 38035 259
 P 524775 66244 43659 61046934
239028 R 3.0 157 1 11692 260
 P 525521 66516 43667 61167234
239501 R 2.0 95 1 9567 261
 P 526977 66787 43677 61287534
239968 R 3.0 158 1 10840 262
 P 527790 67059 43688 61409671
240441 R 4.0 93 2 36331 263
 P 529247 67332 43696 61528134
240908 R 3.0 159 1 9092 264
 P 529992 67604 43704 61648434
241381 R 4.0 94 2 34583 265
 P 531449 67876 43712 61768734
241848 R 3.0 160 1 9136 266
 P 532194 68147 43721 61889034
242320 R 4.0 95 2 32835 267
 P 533719 68418 43732 62010819
242788 R 3.0 161 1 9180 268
 P 534463 68690 43740 62129634
243260 R 4.0 96 2 31087 269
 P 535921 68962 43748 62249934
243727 R 3.0 162 1 9224 270
 P 536665 69233 43757 62370234
244200 R 4.0 97 2 29338 271
 P 538123 69505 43765 62490534
244667 R 3.0 163 1 9267 272
 P 538933 69776 43776 62612863
245140 R 4.0 98 2 27590 273
 P 540392 70047 43785 62731134
245607 R 3.0 164 1 9311 274
 P 541135 70318 43794 62851434
246080 R 2.0 96 1 8978 275
 P 542594 70590 43802 62971734
246547 R 3.0 165 1 9355 276
 P 543336 70861 43811 63092034
247020 R 2.0 97 1 9022 277
 P 544958 71133 43822 63214267
 P 545954 71133 44778 63332634
247960 R 2.0 98 1 9066 278
 P 547415 71405 44787 63452934
248427 R 3.0 166 1 17946 279
 P 548156 71676 44796 63573234
248899 R 2.0 99 1 9110 280
 P 549613 71948 44804 63693537
